tk_number,address,lat,lng,offices
1360,"Москва, Харьковская ул., д. 2",55.5866706,37.6536261,"Величкин2,Мелкумян"
1361,"Москва, 2-я Мелитопольская ул., д. 3A",55.5362185,37.5773300,"Мелкумян"
1362,"Москва, Яна Райниса б-р, д. 18, кор. 1",55.7505412,37.6174782,""
1363,"Москва, Хабаровская ул., д. 12/23",55.8174165,37.8277291,"Голованец"
1364,"Москва, Уссурийская ул., д. 1, к. 1",55.8233654,37.8160594,""
1367,"Москва, Ключевая ул., д. 8",55.6368813,37.7593293,""
1370,"Москва, 77, г. Москва, ул. Широкая, д.31, к.5",55.7505412,37.6174782,""
516,"Москва, 77, г. Москва, ул. 9-я Парковая, д.68, к.5",55.7505412,37.6174782,""
1373,"Москва, Дубнинская ул., д. 12, корп. 3",55.8729528,37.5591634,""
1374,"Москва, Отрадная ул., д. 7",55.8554818,37.6154092,""
1375,"Москва, Тайнинская ул., д. 20",55.8816221,37.6843579,"Величкин"
1376,"Москва, Ясный пр-д, д. 13, стр. 2",55.7505412,37.6174782,"Тураров2"
1377,"Москва, Дудинка ул., д. 2, корп. 1",55.8618795,37.6893695,""
1378,"Москва, Измайловский пр-д, д. 3, стр. 2",55.7505412,37.6174782,""
1379,"Москва, Духовской пер., д. 16",55.7048129,37.6145426,""
1380,"Москва, Павла Корчагина ул., д. 3А",55.8207574,37.6642488,"Мелкумян"
1381,"Москва, Менжинского ул., д. 32",55.8680324,37.6750014,"Кунец,Тураров2"
1382,"Москва, Профсоюзная ул., д. 104",55.6132571,37.4957185,""
1384,"Москва, Краснобогатырская ул., д. 13",55.7981613,37.7143222,""
517,"Москва, 77, г. Москва, ул. Исаковского, д.6, к.2",55.6683086,37.4822303,""
1390,"Москва, 77, г. Москва, ул.Народного Ополчения,28,к.1",55.4899003,36.9122739,""
524,"Москва, 77, г. Москва, ул. Михалковская, д.6",55.8389610,37.5286351,""
1392,"Москва, Большая Академическая ул., д. 17",55.8396005,37.5467027,""
1393,"Москва, Дмитровское ш., д. 113, корп. 1",55.9097516,37.5439581,"Кочегаров"
1397,"Москва, Вешняковская ул., д.13А",55.7365921,37.8271045,""
1398,"Москва, Лобненская ул., д.14",55.8937704,37.5228753,""
535,"Москва, 77, г. Москва, ул. Чусовская, д. 13",55.8111141,37.8117634,""
1403,"Москва, г. Люберцы, 3-е Почтовое отделение, д.100",55.6858486,37.8650431,""
1404,"Москва, Дмитровское ш., д. 101",55.9097516,37.5439581,"Чубуков.И"
1413,"Москва, Красная пресня ул., д. 23, корп. Б, стр. 1",55.7102302,37.6528185,"Голованец,Максутов"
1414,"Москва, Комсомольская пл., д. 6",55.7749526,37.6549688,"Тураров2"
1415,"Москва, Краснобогатырская ул., д. 23",55.8169970,37.6889796,""
1416,"Москва, Митинская ул., д. 53",55.8492799,37.3545235,""
1417,"Москва, Новочеркасский б-р, д. 41, корп. 4",55.7505412,37.6174782,"Величкин2,Максутов"
1418,"Москва, Академика Королева ул., д. 8А",55.8227010,37.5958929,""
1419,"Москва, Красного маяка ул., д. 9",55.6115003,37.6001746,"Величкин2,Мелкумян,Тураров2"
1421,"Москва, Часовая ул., д. 13",55.8115549,37.5184567,""
1425,"Москва, Колодезный пер., д. 3",55.7981301,37.6969707,""
1426,"Москва, Михалковская ул., д. 28",55.8403396,37.5240984,""
1428,"Москва, Лермонтовский пр-т., д. 10, корп. 1",56.3223422,36.7617185,""
1429,"Москва, Хачатуряна ул., д.7",55.8613191,37.6027676,""
1430,"Москва, Большие Каменщики ул., д. 6, корп. 1",55.7382572,37.6540919,""
1431,"Москва, г.Московский, Московская д 3 А",55.7459877,37.6560388,""
1434,"Москва, Люберцы, ул. Кирова д. 4",55.6866712,37.8700827,""
1437,"Москва, Маршала Василевского ул., д. 17",55.8035364,37.4740028,""
1438,"Москва, Алтуфьевское ш., д. 80",55.9090665,37.5880854,""
1439,"Москва, 800-летия Москвы ул., д. 11",55.8799443,37.5576653,""
1440,"Москва, Миклухо-Маклая ул., д. 36А",55.6465698,37.5167729,""
1445,"Москва, Дегунинская ул., д. 13",55.8632251,37.5407169,""
1446,"Москва, Винокурова ул., д. 4, корп. 1",55.6902178,37.5813120,"Величкин2"
1449,"Москва, Рязанский пр-т, д. 75, корп. 1",55.7505412,37.6174782,""
1451,"Москва, Молостовых ул., д. 13, корп. 1",55.7534202,37.8319346,""
1452,"Москва, Измайловская пл., д. 8",55.7938594,37.7754016,""
1453,"Москва, Овчинниковская наб., д. 22/24, стр. 1",55.5900772,37.7266740,"Величкин2"
1455,"Москва, 2-я Владимирская ул., д. 59/39",55.7488992,37.7859780,""
1462,"Москва, Новочеремушкинская, д. 53А",55.6833490,37.5827584,"Максутов"
1464,"Москва, г. Москва Скандинавский б-р, д.1, стр.4",55.7850878,37.6167530,"Мелкумян"
1466,"Москва, 77, г. Москва, Комсомольская пл, д 2",55.7784041,37.6567616,"Кирюхов"
3000,"Московская область, МО, Сергиев Посад, проспект Красной Армии, д.232а",56.3130304,38.1351528,""
3001,"Москва, г. Москва, пос. Сосенское, ул. Скандинавский б-р, д. 2, кор. 8",55.7505412,37.6174782,""
3002,"Московская область, МО, Одинцово, Северная 13",55.6819479,37.2487901,""
3006,"Москва, МСК, ул. Бойцовая, д.2/30",55.8133683,37.7207067,""
3007,"Москва, МСК, ул. Амурская, д.1а, к3",55.8058702,37.7531150,""
3012,"Московская область, МО, городской округ Мытищи, деревня Пирогово, улица Центральная, строение 93.",55.9781862,37.7282709,""
3014,"Москва, МСК, Остафьевское шоссе 12к.1",55.5016679,37.5226933,""
3015,"Москва, МСК, 3я Хорошевская, 27к3",55.7864460,37.4992154,""
